source_file,note_key,model_inferred,dataset_inferred,duration_sec,total_prompt_tokens,total_completion_tokens,total_tokens,num_chunks,avg_tokens_per_chunk,total_original_chunk_tokens,avg_original_chunk_tokens,avg_prompt_tokens_per_chunk,avg_completion_tokens_per_chunk,avg_calls_per_chunk
slurm-200045.out,coral_annotated_breastca_39,o3-mini,CORAL-Breast,748.67,38122,125246,163368,4,40842.0,1991,497.75,9530.5,31311.5,
slurm-200045.out,coral_annotated_pdac_0,o3-mini,CORAL-Pancreas,1369.74,50512,179604,230116,5,46023.2,2881,576.2,10102.4,35920.8,6.4
slurm-200045.out,coral_annotated_pdac_1,o3-mini,CORAL-Pancreas,1750.75,59468,201436,260904,6,43484.0,3360,560.0,9911.333333333334,33572.666666666664,
slurm-200045.out,coral_annotated_pdac_10,o3-mini,CORAL-Pancreas,1656.51,59343,203931,263274,7,37610.57142857143,2932,418.85714285714283,8477.57142857143,29133.0,
slurm-200045.out,coral_annotated_pdac_11,o3-mini,CORAL-Pancreas,2739.7,124398,467413,591811,12,49317.583333333336,7305,608.75,10366.5,38951.083333333336,
slurm-200045.out,coral_annotated_pdac_12,o3-mini,CORAL-Pancreas,3391.54,102570,380624,483194,11,43926.72727272727,5732,521.0909090909091,9324.545454545454,34602.181818181816,
slurm-200045.out,coral_annotated_pdac_13,o3-mini,CORAL-Pancreas,1194.88,64968,223252,288220,7,41174.28571428572,3694,527.7142857142857,9281.142857142857,31893.14285714286,
slurm-200045.out,coral_annotated_pdac_14,o3-mini,CORAL-Pancreas,2252.5,89721,325642,415363,9,46151.444444444445,4793,532.5555555555555,9969.0,36182.444444444445,
slurm-200045.out,coral_annotated_pdac_15,o3-mini,CORAL-Pancreas,1450.74,74033,267668,341701,8,42712.625,4165,520.625,9254.125,33458.5,
slurm-200045.out,coral_annotated_pdac_16,o3-mini,CORAL-Pancreas,562.51,37953,131007,168960,4,42240.0,1921,480.25,9488.25,32751.75,
slurm-200045.out,coral_annotated_pdac_17,o3-mini,CORAL-Pancreas,1396.19,79276,268680,347956,9,38661.77777777778,4287,476.3333333333333,8808.444444444445,29853.333333333332,
slurm-200045.out,coral_annotated_pdac_18,o3-mini,CORAL-Pancreas,1970.41,44979,150848,195827,4,48956.75,2571,642.75,11244.75,37712.0,
slurm-200045.out,coral_annotated_pdac_19,o3-mini,CORAL-Pancreas,1715.5,60674,186967,247641,6,41273.5,3004,500.6666666666667,10112.333333333334,31161.166666666668,
slurm-200045.out,coral_annotated_pdac_2,o3-mini,CORAL-Pancreas,2447.28,83761,262822,346583,8,43322.875,4363,545.375,10470.125,32852.75,
slurm-200045.out,coral_annotated_pdac_3,o3-mini,CORAL-Pancreas,1012.64,38937,154275,193212,4,48303.0,2098,524.5,9734.25,38568.75,
slurm-200045.out,coral_annotated_pdac_4,o3-mini,CORAL-Pancreas,1717.71,55612,188910,244522,5,48904.4,3124,624.8,11122.4,37782.0,
slurm-200045.out,coral_annotated_pdac_5,o3-mini,CORAL-Pancreas,1021.8,51456,184340,235796,5,47159.2,2931,586.2,10291.2,36868.0,
slurm-200045.out,coral_annotated_pdac_6,o3-mini,CORAL-Pancreas,878.26,58939,204127,263066,6,43844.333333333336,3258,543.0,9823.166666666666,34021.166666666664,
slurm-200045.out,coral_annotated_pdac_7,o3-mini,CORAL-Pancreas,1073.15,76586,261933,338519,8,42314.875,4306,538.25,9573.25,32741.625,
slurm-200045.out,coral_annotated_pdac_8,o3-mini,CORAL-Pancreas,1064.09,64875,224133,289008,6,48168.0,3499,583.1666666666666,10812.5,37355.5,
slurm-200045.out,coral_annotated_pdac_9,o3-mini,CORAL-Pancreas,2021.31,102591,368372,470963,10,47096.3,5806,580.6,10259.1,36837.2,
slurm-200045.out,4CE_UPMC_Note3,o3-mini,4CE,711.67,59893,189742,249635,7,35662.142857142855,2828,404.0,8556.142857142857,27106.0,
slurm-200045.out,4CE_UPMC_Note4,o3-mini,4CE,361.87,35348,101131,136479,4,34119.75,2179,544.75,8837.0,25282.75,
slurm-200045.out,4CE_UPMC_Note5,o3-mini,4CE,641.83,54831,160258,215089,6,35848.166666666664,2970,495.0,9138.5,26709.666666666668,
slurm-200045.out,4CE_UPMC_Note6,o3-mini,4CE,710.18,57972,157641,215613,6,35935.5,2797,466.1666666666667,9662.0,26273.5,
slurm-200045.out,4CE_UPMC_Note7,o3-mini,4CE,539.68,46102,132251,178353,4,44588.25,2636,659.0,11525.5,33062.75,
slurm-200045.out,4CE_d18395bd05b9c997c1aceffdbcf8e5e3c,o3-mini,4CE,927.85,58893,188070,246963,6,41160.5,2602,433.6666666666667,9815.5,31345.0,
slurm-200045.out,4CE_d30982c684512d4f0b6fd79836539d9ac,o3-mini,4CE,643.65,55583,173427,229010,5,45802.0,2864,572.8,11116.6,34685.4,
slurm-200045.out,4CE_d34f60de6187c4ebefd6d31bcaca64630,o3-mini,4CE,401.36,37055,121940,158995,3,52998.333333333336,2099,699.6666666666666,12351.666666666666,40646.666666666664,
slurm-200045.out,4CE_d3f613256b944611d228c7d204b0de699,o3-mini,4CE,479.76,36441,103722,140163,4,35040.75,1544,386.0,9110.25,25930.5,
slurm-200045.out,4CE_d54bcf6fe1fa225b13277b3b115fdcc3d,o3-mini,4CE,551.95,52466,137457,189923,5,37984.6,2670,534.0,10493.2,27491.4,
slurm-200045.out,4CE_db9f975c029e3459d2e59d3b379f0d00d,o3-mini,4CE,321.05,24223,78143,102366,2,51183.0,1467,733.5,12111.5,39071.5,
slurm-200045.out,4CE_dff4a5b3e1c4cd860f8e2b5c95bd14b51,o3-mini,4CE,775.26,68200,212739,280939,7,40134.142857142855,3123,446.14285714285717,9742.857142857143,30391.285714285714,
slurm-200045.out,4CE_report01,o3-mini,4CE,1363.75,104947,340519,445466,10,44546.6,5319,531.9,10494.7,34051.9,
slurm-200045.out,4CE_report02,o3-mini,4CE,1719.56,82859,256729,339588,8,42448.5,4351,543.875,10357.375,32091.125,
slurm-200045.out,4CE_report03,o3-mini,4CE,1657.36,63720,188208,251928,6,41988.0,3313,552.1666666666666,10620.0,31368.0,
slurm-200045.out,4CE_report04,o3-mini,4CE,1210.16,57982,182954,240936,6,40156.0,2663,443.8333333333333,9663.666666666666,30492.333333333332,
slurm-200045.out,4CE_report05,o3-mini,4CE,1539.84,117336,340791,458127,11,41647.90909090909,6292,572.0,10666.90909090909,30981.0,
slurm-200045.out,4CE_report06,o3-mini,4CE,2520.46,155980,453305,609285,15,40619.0,7917,527.8,10398.666666666666,30220.333333333332,
slurm-200028.out,Test_note6,gpt-4o,OTHER:Test,54.94,9214,10544,19758,1,19758.0,418,418.0,9214.0,10544.0,7.0
slurm-200028.out,Test_note7,gpt-4o,OTHER:Test,19.07,7332,5229,12561,1,12561.0,249,249.0,7332.0,5229.0,
slurm-200028.out,Test_note8,gpt-4o,OTHER:Test,63.52,7782,9478,17260,1,17260.0,269,269.0,7782.0,9478.0,
slurm-200028.out,Test_note9,gpt-4o,OTHER:Test,25.36,7217,8097,15314,1,15314.0,202,202.0,7217.0,8097.0,
slurm-200036.out,Test_note6,o3-mini,OTHER:Test,225.53,11844,28696,40540,1,40540.0,418,418.0,11844.0,28696.0,8.0
slurm-200036.out,Test_note7,o3-mini,OTHER:Test,88.85,7337,22511,29848,1,29848.0,249,249.0,7337.0,22511.0,
slurm-200036.out,Test_note8,o3-mini,OTHER:Test,79.05,7767,23171,30938,1,30938.0,269,269.0,7767.0,23171.0,
slurm-200036.out,Test_note9,o3-mini,OTHER:Test,85.61,7222,22960,30182,1,30182.0,202,202.0,7222.0,22960.0,
slurm-200045.out,4CE_report07,o3-mini,4CE,1652.77,67458,183541,250999,7,35857.0,3307,472.42857142857144,9636.857142857143,26220.14285714286,
