model_a,model_b,dataset,column,metric,n_common_notes,n_boot,delta_point,delta_boot_mean,delta_ci_lo,delta_ci_hi,p_value,p_fdr
gpt4o,phi4,coral_pdac,begin_date,accuracy,9,2000,0.5558577581919866,0.5657477973650222,0.3942919924143553,0.7353180313557192,0.0005,0.0009230769230769232
gpt4o,phi4,coral_pdac,end_date,f1,9,2000,0.6744082296751168,0.6779879834876644,0.5125887103009236,0.8289445241754767,0.0005,0.0009230769230769232
gpt4o,phi4,coral_pdac,end_date,accuracy,9,2000,0.5543954265990724,0.5637290875588861,0.3907561534485517,0.7367931940895213,0.0005,0.0009230769230769232
gpt4o,phi4,coral_pdac,value,f1,9,2000,0.6645809545558348,0.6810765110880825,0.408019817651382,0.8926706670733012,0.0005,0.0009230769230769232
gpt4o,phi4,coral_pdac,value,accuracy,9,2000,0.6908322651094336,0.6920047836581698,0.5148051447790561,0.8289865618592986,0.0005,0.0009230769230769232
gpt4o,phi4,coral_pdac,unit,f1,9,2000,0.6949047923549683,0.6999726887749066,0.5155656205248255,0.859110850728903,0.0005,0.0009230769230769232
gpt4o,phi4,coral_pdac,unit,accuracy,9,2000,0.6994613923343391,0.6969536902498105,0.6012162099884574,0.7918364643920324,0.0005,0.0009230769230769232
gpt4o,o3mini,4CE,code,f1,21,2000,0.20865343191551677,0.20872713082060243,0.17342419662514982,0.24299204262558313,0.0005,0.0009230769230769232
gpt4o,o3mini,4CE,code,accuracy,21,2000,0.2775280336734353,0.27785186443691395,0.22978262958556622,0.324411837565945,0.0005,0.0009230769230769232
gpt4o,o3mini,4CE,assertion_status,f1,21,2000,0.14661546282178994,0.14666704739011502,0.1141097416955515,0.17873842633843645,0.0005,0.0009230769230769232
gpt4o,o3mini,4CE,assertion_status,accuracy,21,2000,0.20827583656531024,0.20855183084460716,0.15953866754296708,0.25629293674217246,0.0005,0.0009230769230769232
gpt4o,o3mini,4CE,begin_date,f1,21,2000,-0.15053342481250265,-0.1386330031110304,-0.22014493523582773,0.02856958989273633,0.068,0.09237735849056605
gpt4o,o3mini,4CE,begin_date,accuracy,21,2000,-0.16102224877082383,-0.14852789294969973,-0.23817790696013946,0.02884970667807489,0.068,0.09237735849056605
gpt4o,o3mini,4CE,end_date,f1,21,2000,-0.04797184647982622,-0.010966684692398167,-0.16695668916086873,0.41797556441500355,0.649,0.7080000000000001
gpt4o,o3mini,4CE,end_date,accuracy,21,2000,-0.04786003840409647,-0.018747434194893744,-0.17708455106419602,0.33697122643431604,0.649,0.7080000000000001
gpt4o,o3mini,4CE,value,f1,21,2000,0.10322172615951775,0.103561925246116,0.013809299367196638,0.17607467841266713,0.028,0.042
gpt4o,o3mini,4CE,value,accuracy,21,2000,0.135155160390516,0.135935186673262,0.01840636076150347,0.23083690481984878,0.028,0.042
gpt4o,o3mini,4CE,unit,f1,21,2000,0.1160949923515272,0.11713597307563728,0.04356733814467624,0.18720027544781961,0.007,0.011454545454545455
gpt4o,o3mini,4CE,unit,accuracy,21,2000,0.14041128962576305,0.14169540370492212,0.05139964026359312,0.22455758743878418,0.007,0.011454545454545455
gpt4o,o3mini,coral_breastca,code,f1,13,2000,0.20608838941884833,0.20680133148244892,0.17689740946003019,0.2395138810050192,0.0005,0.0009230769230769232
gpt4o,o3mini,coral_breastca,code,accuracy,13,2000,0.24959706717161473,0.25024382476017176,0.2150973508511274,0.2899652022793544,0.0005,0.0009230769230769232
gpt4o,o3mini,coral_breastca,assertion_status,f1,13,2000,0.1341303068661588,0.13485979206795162,0.10055507872160496,0.17321726370689722,0.0005,0.0009230769230769232
gpt4o,o3mini,coral_breastca,assertion_status,accuracy,13,2000,0.17866133467209144,0.1796784078221341,0.13184221429840837,0.23264791601701862,0.0005,0.0009230769230769232
gpt4o,o3mini,coral_breastca,begin_date,f1,13,2000,0.029546602617257056,0.03175245539358629,-0.05734797430006246,0.11077267486994748,0.472,0.5309999999999999
gpt4o,o3mini,coral_breastca,begin_date,accuracy,13,2000,0.03331828636529738,0.03626400341851568,-0.06505642274686572,0.12832415518982504,0.472,0.5309999999999999
gpt4o,o3mini,coral_breastca,end_date,f1,13,2000,0.05922875814064965,0.06272149361202674,-0.04702108483380808,0.17571990008556335,0.273,0.32760000000000006
gpt4o,o3mini,coral_breastca,end_date,accuracy,13,2000,0.0660019372684515,0.06968800787378485,-0.05300248978270794,0.19587056197331257,0.273,0.32760000000000006
gpt4o,o3mini,coral_breastca,value,f1,13,2000,0.13392417528311173,0.13500387802237981,0.029511978434005073,0.2352480166545093,0.008,0.012800000000000002
gpt4o,o3mini,coral_breastca,value,accuracy,13,2000,0.16748768472906406,0.16854898221016884,0.03522843388281441,0.29121989566530215,0.008,0.012800000000000002
gpt4o,o3mini,coral_breastca,unit,f1,13,2000,0.01701612903225802,0.017696026895970635,-0.058009073328271446,0.10615756568541267,0.694,0.7348235294117647
gpt4o,o3mini,coral_breastca,unit,accuracy,13,2000,0.02157375976442688,0.022689654773745252,-0.071826988695934,0.13227656936497664,0.694,0.7348235294117647
gpt4o,o3mini,coral_pdac,code,f1,15,2000,0.1931778442525236,0.19293576185575984,0.16420537083134917,0.22234155350727794,0.0005,0.0009230769230769232
gpt4o,o3mini,coral_pdac,code,accuracy,15,2000,0.24939001762935908,0.24908434545013602,0.2155455521110396,0.28273060197381183,0.0005,0.0009230769230769232
gpt4o,o3mini,coral_pdac,assertion_status,f1,15,2000,0.1275349000649839,0.12737453375701252,0.1008544423686887,0.15551182858399773,0.0005,0.0009230769230769232
gpt4o,o3mini,coral_pdac,assertion_status,accuracy,15,2000,0.1804575300019674,0.18013400771320978,0.14351347363211248,0.21822265730327198,0.0005,0.0009230769230769232
gpt4o,o3mini,coral_pdac,begin_date,f1,15,2000,0.07815016369273475,0.08031363919889231,-0.00822360117025293,0.17995650759740023,0.077,0.10079999999999999
gpt4o,o3mini,coral_pdac,begin_date,accuracy,15,2000,0.0882315504188681,0.09063278737288272,-0.009245627298808266,0.20233272046869094,0.077,0.10079999999999999
gpt4o,o3mini,coral_pdac,end_date,f1,15,2000,0.08709610784582378,0.08869271656231253,-0.001592208535456998,0.19065974310284695,0.056,0.07905882352941176
gpt4o,o3mini,coral_pdac,end_date,accuracy,15,2000,0.09986038108038486,0.10187559705390913,-0.0018451398771341355,0.22065157927937454,0.056,0.07905882352941176
gpt4o,o3mini,coral_pdac,value,f1,15,2000,0.12925176342685607,0.13086386102330366,0.06213146692471084,0.20823966837956903,0.0005,0.0009230769230769232
gpt4o,o3mini,coral_pdac,value,accuracy,15,2000,0.19278830102982347,0.1940701351746022,0.09730183314923334,0.29873033452927344,0.0005,0.0009230769230769232
gpt4o,o3mini,coral_pdac,unit,f1,15,2000,0.17520548467685015,0.1760120777408759,0.0981808048781125,0.2560692965432196,0.0005,0.0009230769230769232
gpt4o,o3mini,coral_pdac,unit,accuracy,15,2000,0.2476648110956855,0.2477785591200113,0.14352080030570386,0.3533619820765416,0.0005,0.0009230769230769232
