model,dataset,column,metric,point_estimate,boot_mean,boot_std,ci_lo,ci_hi,n_notes,n_boot
llama,4CE,unit,recall,0.6345419847328244,0.6354214741134805,0.0434920777571729,0.5504569208870805,0.7201917831261763,21,2000
llama,4CE,unit,f1,0.764367816091954,0.7639811053865784,0.03181662288229768,0.6983689121141824,0.8233176139580975,21,2000
llama,4CE,unit,accuracy,0.6186046511627907,0.6191653376600175,0.04150180890140028,0.5365336977118864,0.6996940072612445,21,2000
llama,coral_breastca,code,precision,0.7439204126750184,0.7448914790199832,0.015060469643380986,0.7156079071446761,0.7744610976618249,13,2000
llama,coral_breastca,code,recall,0.6626189694781752,0.6613881347406577,0.02611154475599265,0.6104528117900969,0.7119448541365287,13,2000
llama,coral_breastca,code,f1,0.7009199791702829,0.7003291860391405,0.016394459648682705,0.6672782604813845,0.7310025586780555,13,2000
llama,coral_breastca,code,accuracy,0.53955104222341,0.5390959637116901,0.019415843108721496,0.5006883596908397,0.5760473070272066,13,2000
llama,coral_breastca,assertion_status,precision,0.8461822205828108,0.8454051127450498,0.020837873202458453,0.8047359753913844,0.8850235069570678,13,2000
llama,coral_breastca,assertion_status,recall,0.6909638554216867,0.689106461258955,0.027355920859993214,0.6328491191880544,0.7398823017240529,13,2000
llama,coral_breastca,assertion_status,f1,0.7607361963190183,0.7590652400337844,0.022014057024676244,0.7142569091042746,0.7987566647171083,13,2000
llama,coral_breastca,assertion_status,accuracy,0.6138613861386139,0.6121935679195157,0.028506918505349747,0.5555207056939533,0.6649415996103886,13,2000
llama,coral_breastca,begin_date,precision,0.958252427184466,0.9574755117301709,0.013843544576098247,0.9278908391313514,0.981734935481757,13,2000
llama,coral_breastca,begin_date,recall,0.5942203491872367,0.5934223312299547,0.05776280523655746,0.4801031390932299,0.7048705471099443,13,2000
llama,coral_breastca,begin_date,f1,0.7335562987736901,0.7313568042477347,0.046919400582631256,0.6358710680633394,0.8199588456460024,13,2000
llama,coral_breastca,begin_date,accuracy,0.579225352112676,0.5786394595369504,0.05828846234747781,0.4661370777476978,0.6948561434906784,13,2000
llama,coral_breastca,end_date,precision,0.9495049504950495,0.9481693771563702,0.017706877237426505,0.9080071863283161,0.978387292243255,13,2000
llama,coral_breastca,end_date,recall,0.599375,0.5985418632625723,0.058733847519902946,0.4819004288652942,0.7123790383804935,13,2000
llama,coral_breastca,end_date,f1,0.7348659003831417,0.7325242496989534,0.04802684106323117,0.6335801857023461,0.8213422816218869,13,2000
llama,coral_breastca,end_date,accuracy,0.5808600847970927,0.580199703393119,0.05975442985894128,0.4636790162094494,0.6968454621458803,13,2000
llama,coral_breastca,value,precision,0.989010989010989,0.9892679518327482,0.006287533682441615,0.9767441860465116,1.0,13,2000
llama,coral_breastca,value,recall,0.4488778054862843,0.44893830048910144,0.038358171139662334,0.3758255196060907,0.5235905211141061,13,2000
llama,coral_breastca,value,f1,0.6174957118353346,0.6165347486527152,0.03556765630460203,0.5457740725398141,0.682840088771827,13,2000
llama,coral_breastca,value,accuracy,0.4466501240694789,0.44659847342550474,0.03711997319029491,0.3753021193242103,0.518418518336274,13,2000
llama,coral_breastca,unit,precision,0.9432989690721649,0.9441524203311562,0.011880505242222431,0.9210495716034272,0.9693390124916844,13,2000
llama,coral_breastca,unit,recall,0.38284518828451886,0.3834632176224279,0.035896612194460276,0.3172338420953458,0.4566216203582513,13,2000
llama,coral_breastca,unit,f1,0.5446428571428571,0.5443217391174315,0.03560045743092545,0.47635685360234686,0.612260027569512,13,2000
llama,coral_breastca,unit,accuracy,0.37423312883435583,0.3747535655997052,0.03371302000483717,0.3126433211965446,0.4411921894648595,13,2000
llama,coral_pdac,code,precision,0.7840531561461794,0.7855568330594936,0.01827605031011963,0.7476967930721151,0.8179265691566089,14,2000
llama,coral_pdac,code,recall,0.7772455089820359,0.77690667297744,0.020717097438696007,0.7350851509032748,0.8154099060015472,14,2000
llama,coral_pdac,code,f1,0.7806344910539769,0.7809969946340561,0.014822781895671228,0.751377482266645,0.8098669289146674,14,2000
llama,coral_pdac,code,accuracy,0.6401972872996301,0.6409276838478221,0.019967414054234255,0.6017651226000462,0.6804843497611437,14,2000
llama,coral_pdac,assertion_status,precision,0.9096403747355697,0.9098141354202258,0.00866587698492375,0.8932190325119415,0.9265179306308495,14,2000
llama,coral_pdac,assertion_status,recall,0.8020250466293631,0.801461277795293,0.01852080795813705,0.765418287483813,0.8373340046625651,14,2000
llama,coral_pdac,assertion_status,f1,0.8524497309544039,0.8520566451842307,0.01044305337228998,0.8308962769479566,0.8720478116982195,14,2000
llama,coral_pdac,assertion_status,accuracy,0.7428430404738401,0.7423903497123304,0.015849840596953685,0.7107121983111727,0.7731248015184425,14,2000
llama,coral_pdac,begin_date,precision,0.9164619164619164,0.9181140849133824,0.02254230447468797,0.8741286142788196,0.9630937757522894,14,2000
llama,coral_pdac,begin_date,recall,0.6791078743741465,0.6772234874824108,0.05244352311072754,0.5738141549798992,0.7738773018846264,14,2000
llama,coral_pdac,begin_date,f1,0.7801307189542482,0.7781838015364267,0.03565362422607981,0.7059064764884118,0.8434292930441653,14,2000
